room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7880823,41542517,Entire home/apt,,24,0,,2,1,68,1,56.164097,10.214469,40:46.0
15322528,97637165,Entire home/apt,,24,1,,2,0,61,2,56.149367,10.196055,40:43.2
6920908,36273927,Entire home/apt,,24,1,,4,1,68,2,56.152544,10.206125,40:29.6
3249155,11206742,Entire home/apt,,24,5,5,4,2,87,3,56.147076,10.205697,40:22.2
1242948,6193751,Private room,,24,1,,2,1,61,2,56.159235,10.209139,40:13.7
8572129,44932890,Private room,,1,4,4.5,2,1,68,1,56.132292,10.21059,40:01.8
11606479,61426999,Entire home/apt,,24,5,5,3,1,45,1,56.165611,10.213174,39:55.5
9359600,48570226,Private room,,24,16,4.5,4,1,45,1,56.161485,10.198163,39:26.2
15477304,65071273,Private room,,4,0,,2,1,39,1,56.180219,10.190609,39:12.1
7877104,41273215,Private room,,6,1,,2,1,38,2,56.148342,10.157767,39:05.5
13589545,18333196,Private room,,4,2,,2,1,30,2,56.171741,10.199325,39:01.8
11525016,3756437,Entire home/apt,,4,3,5,3,1,45,1,56.174029,10.210004,38:25.1
6101582,31653051,Entire home/apt,,24,4,5,2,1,48,2,56.166069,10.189109,38:13.9
13159135,73480012,Entire home/apt,,5,0,,7,4,151,1,56.190285,10.22048,38:10.1
6875189,28341152,Private room,,24,13,4.5,2,1,59,1,56.160572,10.204,37:57.0
14149272,85474465,Entire home/apt,,24,2,,4,2,83,2,56.161393,10.215624,37:50.9
14570227,53189891,Entire home/apt,,24,0,,2,2,181,2,56.153146,10.185469,37:36.8
14100552,7639425,Entire home/apt,,24,1,,3,1,68,1,56.154578,10.210319,37:33.0
5224107,10541812,Entire home/apt,,24,8,5,2,1,54,3,56.156689,10.19717,37:24.5
15310646,72150468,Entire home/apt,,1,0,,5,4,121,2,56.116357,10.2074,37:08.5
6745224,6174780,Entire home/apt,,24,3,4,3,1,74,2,56.157261,10.200443,37:06.0
14890082,93140662,Private room,,24,8,5,2,1,41,1,56.15249,10.205437,37:03.6
13898783,17048412,Private room,,5,1,,2,1,61,1,56.190955,10.228908,37:01.3
3753636,19212667,Entire home/apt,,5,1,,4,1,44,1,56.209611,10.237637,36:57.7
15592634,71103683,Entire home/apt,,3,0,,2,1,39,1,56.17585,10.147864,36:51.8
7596740,39836859,Entire home/apt,,13,27,4.5,4,2,121,1,56.224411,10.211739,36:48.8
14329000,20072317,Entire home/apt,,24,0,,4,2,136,4,56.157709,10.209109,36:24.9
6149374,5420123,Entire home/apt,,24,22,5,4,2,107,1,56.143594,10.205213,36:15.2
11312464,59150776,Entire home/apt,,24,1,,4,2,47,1,56.173377,10.213838,36:06.8
13630692,79018819,Entire home/apt,,24,4,5,2,1,57,1,56.164264,10.19599,35:55.5
5157771,26673733,Entire home/apt,,5,7,4.5,7,3,75,1,56.205574,10.250497,35:50.0
6738598,33596040,Entire home/apt,,24,0,,3,1,23,8,56.151507,10.195962,35:32.9
9146546,47626213,Entire home/apt,,24,3,4.5,2,1,45,1,56.163319,10.216478,35:23.7
12069709,5529135,Private room,,11,1,,2,1,30,1,56.183338,10.097672,35:13.1
15476258,99340290,Entire home/apt,,1,0,,3,2,38,2,56.105774,10.199002,35:10.0
11817486,6177721,Entire home/apt,,24,28,4.5,8,2,54,1,56.147763,10.200659,35:06.8
7454987,6640438,Private room,,24,0,,2,1,53,1,56.153044,10.212079,34:52.8
14480401,39412196,Private room,,24,5,5,2,1,56,2,56.159958,10.201576,33:47.7
9330567,45877080,Entire home/apt,,2,0,,7,5,131,2,56.126014,10.181869,33:29.6
7198130,37692441,Entire home/apt,,24,7,4.5,3,1,57,6,56.143757,10.200242,33:26.4
4418139,21472701,Entire home/apt,,1,8,5,4,1,91,2,56.140873,10.193937,33:03.8
13615495,37246063,Entire home/apt,,4,5,5,6,2,61,2,56.186946,10.194901,32:53.2
11471751,55182007,Entire home/apt,,24,3,4.5,6,2,91,2,56.156017,10.199081,32:31.1
5514748,28604699,Entire home/apt,,24,15,4.5,2,1,53,1,56.162661,10.211832,32:27.9
4186264,21697650,Entire home/apt,,24,1,,6,3,99,1,56.145257,10.195902,32:21.6
15371916,6631477,Private room,,24,0,,3,1,34,1,56.162199,10.205157,32:14.5
7480675,39173722,Entire home/apt,,24,2,,2,1,53,2,56.163388,10.194056,32:10.9
11690014,55149107,Private room,,4,2,,1,1,20,1,56.173191,10.199747,32:07.8
14113070,85035726,Entire home/apt,,4,6,4.5,5,2,72,2,56.170424,10.190358,32:02.6
14247492,59289474,Entire home/apt,,24,0,,2,1,98,1,56.152991,10.206517,31:56.7
5950972,30893960,Entire home/apt,,24,0,,2,0,48,14,56.156028,10.209526,31:34.0
4839956,24908284,Entire home/apt,,5,0,,4,3,74,1,56.199157,10.208219,31:25.7
13602745,51888311,Entire home/apt,,24,2,,4,2,91,3,56.156998,10.206483,31:15.2
10582411,11019502,Entire home/apt,,4,8,5,2,1,91,1,56.173423,10.201426,30:31.0
